Date,Flight Number,A/C,From,From (IATA),To,To (IATA),STD,ATD,STA,ATA,Flight Time (Schedual),Flight Time (Actual),Delay (Departure),Is Weekday
2023-01-26,DD308,HS-DBO,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 14:50:00,1900-01-01 17:25:00,1900-01-01 16:00:00,1900-01-01 18:12:00,0 days 01:10:00,0 days 00:47:00,0 days 02:35:00,True
2023-01-26,DD106,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 13:40:00,1900-01-01 13:55:00,1900-01-01 15:00:00,1900-01-01 14:54:00,0 days 01:20:00,0 days 00:59:00,0 days 00:15:00,True
2023-01-26,DD503,HS-DBO,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 11:35:00,1900-01-01 11:43:00,1900-01-01 13:00:00,1900-01-01 12:55:00,0 days 01:25:00,0 days 01:12:00,0 days 00:08:00,True
2023-01-26,DD502,HS-DBO,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 09:40:00,1900-01-01 09:56:00,1900-01-01 11:05:00,1900-01-01 11:03:00,0 days 01:25:00,0 days 01:07:00,0 days 00:16:00,True
2023-01-26,DD101,HS-DBO,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 07:55:00,1900-01-01 08:02:00,1900-01-01 09:10:00,1900-01-01 09:02:00,0 days 01:15:00,0 days 01:00:00,0 days 00:07:00,True
2023-01-25,DD100,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-02 06:10:00,1900-01-02 06:29:00,1900-01-01 07:25:00,1900-01-01 07:26:00,0 days 01:15:00,0 days 00:57:00,0 days 00:19:00,True
2023-01-25,DD135,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 18:40:00,1900-01-01 19:23:00,1900-01-01 20:00:00,1900-01-01 20:13:00,0 days 01:20:00,0 days 00:50:00,0 days 00:43:00,True
2023-01-25,DD134,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 17:00:00,1900-01-01 17:48:00,1900-01-01 18:25:00,1900-01-01 18:40:00,0 days 01:25:00,0 days 00:52:00,0 days 00:48:00,True
2023-01-25,DD107,HS-DBO,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 15:30:00,1900-01-01 15:51:00,1900-01-01 16:45:00,1900-01-01 16:53:00,0 days 01:15:00,0 days 01:02:00,0 days 00:21:00,True
2023-01-25,DD106,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 13:40:00,1900-01-01 14:05:00,1900-01-01 15:00:00,1900-01-01 15:05:00,0 days 01:20:00,0 days 01:00:00,0 days 00:25:00,True
2023-01-25,DD103,HS-DBO,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 12:00:00,1900-01-01 12:09:00,1900-01-01 13:15:00,1900-01-01 13:05:00,0 days 01:15:00,0 days 00:56:00,0 days 00:09:00,True
2023-01-25,DD102,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 10:15:00,1900-01-01 10:24:00,1900-01-01 11:30:00,1900-01-01 11:23:00,0 days 01:15:00,0 days 00:59:00,0 days 00:09:00,True
2023-01-25,DD123,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 08:15:00,1900-01-01 08:24:00,1900-01-01 09:20:00,1900-01-01 09:15:00,0 days 01:05:00,0 days 00:51:00,0 days 00:09:00,True
2023-01-24,DD122,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-02 06:35:00,1900-01-02 06:43:00,1900-01-01 07:45:00,1900-01-01 07:39:00,0 days 01:10:00,0 days 00:56:00,0 days 00:08:00,True
2023-01-24,DD533,HS-DBO,Phuket ,HKT,Bangkok ,DMK,1900-01-01 19:05:00,1900-01-01 19:32:00,1900-01-01 20:25:00,1900-01-01 20:40:00,0 days 01:20:00,0 days 01:08:00,0 days 00:27:00,True
2023-01-24,DD532,HS-DBO,Bangkok ,DMK,Phuket ,HKT,1900-01-01 17:15:00,1900-01-01 17:27:00,1900-01-01 18:35:00,1900-01-01 18:31:00,0 days 01:20:00,0 days 01:04:00,0 days 00:12:00,True
2023-01-24,DD107,HS-DBO,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 15:30:00,1900-01-01 15:36:00,1900-01-01 16:45:00,1900-01-01 16:35:00,0 days 01:15:00,0 days 00:59:00,0 days 00:06:00,True
2023-01-24,DD106,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 13:40:00,1900-01-01 13:50:00,1900-01-01 15:00:00,1900-01-01 14:50:00,0 days 01:20:00,0 days 01:00:00,0 days 00:10:00,True
2023-01-24,DD305,HS-DBO,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 11:55:00,1900-01-01 11:51:00,1900-01-01 12:55:00,1900-01-01 12:37:00,0 days 01:00:00,0 days 00:46:00,0 days 00:00:00,True
2023-01-24,DD304,HS-DBO,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 10:15:00,1900-01-01 10:21:00,1900-01-01 11:25:00,1900-01-01 11:09:00,0 days 01:10:00,0 days 00:48:00,0 days 00:06:00,True
2023-01-24,DD301,HS-DBO,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 07:35:00,1900-01-01 07:35:00,1900-01-01 08:35:00,1900-01-01 08:18:00,0 days 01:00:00,0 days 00:43:00,0 days 00:00:00,True
2023-01-23,DD300,HS-DBO,Bangkok ,DMK,Udon Thani ,UTH,1900-01-02 06:00:00,1900-01-02 06:04:00,1900-01-01 07:05:00,1900-01-02 06:53:00,0 days 01:05:00,0 days 00:49:00,0 days 00:04:00,True
2023-01-23,DD135,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 18:55:00,1900-01-01 20:23:00,1900-01-01 20:00:00,1900-01-01 21:17:00,0 days 01:05:00,0 days 00:54:00,0 days 01:28:00,True
2023-01-23,DD134,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 17:15:00,1900-01-01 18:39:00,1900-01-01 18:25:00,1900-01-01 19:36:00,0 days 01:10:00,0 days 00:57:00,0 days 01:24:00,True
2023-01-23,DD107,HS-DBO,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 15:30:00,1900-01-01 16:55:00,1900-01-01 16:45:00,1900-01-01 17:55:00,0 days 01:15:00,0 days 01:00:00,0 days 01:25:00,True
2023-01-23,DD106,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 13:40:00,1900-01-01 15:12:00,1900-01-01 15:00:00,1900-01-01 16:13:00,0 days 01:20:00,0 days 01:01:00,0 days 01:32:00,True
2023-01-23,DD103,HS-DBO,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 12:55:00,1900-01-01 13:14:00,1900-01-01 14:10:00,1900-01-01 14:14:00,0 days 01:15:00,0 days 01:00:00,0 days 00:19:00,True
2023-01-23,DD102,HS-DBO,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 11:10:00,1900-01-01 11:30:00,1900-01-01 12:25:00,1900-01-01 12:31:00,0 days 01:15:00,0 days 01:01:00,0 days 00:20:00,True
2023-01-23,DD523,HS-DBO,Phuket ,HKT,Bangkok ,DMK,1900-01-01 09:10:00,1900-01-01 09:32:00,1900-01-01 10:40:00,1900-01-01 10:40:00,0 days 01:30:00,0 days 01:08:00,0 days 00:22:00,True
2023-01-23,DD522,HS-DBO,Bangkok ,DMK,Phuket ,HKT,1900-01-01 07:20:00,1900-01-01 07:29:00,1900-01-01 08:40:00,1900-01-01 08:40:00,0 days 01:20:00,0 days 01:11:00,0 days 00:09:00,True
2023-01-22,DD137,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 20:40:00,1900-01-01 20:37:00,1900-01-01 21:45:00,1900-01-01 21:27:00,0 days 01:05:00,0 days 00:50:00,0 days 00:00:00,False
2023-01-22,DD136,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 19:00:00,1900-01-01 19:09:00,1900-01-01 20:10:00,1900-01-01 20:00:00,0 days 01:10:00,0 days 00:51:00,0 days 00:09:00,False
2023-01-22,DD530,HS-DBO,Phuket ,HKT,Bangkok ,DMK,1900-01-01 16:29:00,1900-01-01 16:29:00,1900-01-01 17:32:00,1900-01-01 17:32:00,0 days 01:03:00,0 days 01:03:00,0 days 00:00:00,False
2023-01-22,DD528,HS-DBO,Bangkok ,DMK,Phuket ,HKT,1900-01-01 13:35:00,1900-01-01 14:36:00,1900-01-01 14:50:00,1900-01-01 15:38:00,0 days 01:15:00,0 days 01:02:00,0 days 01:01:00,False
2023-01-22,DD527,HS-DBO,Phuket ,HKT,Bangkok ,DMK,1900-01-01 11:40:00,1900-01-01 12:26:00,1900-01-01 13:00:00,1900-01-01 13:34:00,0 days 01:20:00,0 days 01:08:00,0 days 00:46:00,False
2023-01-22,DD526,HS-DBO,Bangkok ,DMK,Phuket ,HKT,1900-01-01 09:50:00,1900-01-01 10:19:00,1900-01-01 11:10:00,1900-01-01 11:31:00,0 days 01:20:00,0 days 01:12:00,0 days 00:29:00,False
2023-01-22,DD123,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 08:15:00,1900-01-01 08:26:00,1900-01-01 09:20:00,1900-01-01 09:20:00,0 days 01:05:00,0 days 00:54:00,0 days 00:11:00,False
2023-01-21,DD122,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-02 06:35:00,1900-01-02 06:39:00,1900-01-01 07:45:00,1900-01-01 07:33:00,0 days 01:10:00,0 days 00:54:00,0 days 00:04:00,False
2023-01-21,DD137,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 19:40:00,1900-01-01 22:22:00,1900-01-01 21:35:00,1900-01-01 23:16:00,0 days 01:55:00,0 days 00:54:00,0 days 02:42:00,False
2023-01-21,DD136,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 18:00:00,1900-01-01 20:43:00,1900-01-01 20:00:00,1900-01-01 21:36:00,0 days 02:00:00,0 days 00:53:00,0 days 02:43:00,False
2023-01-21,DD308,HS-DBO,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 17:22:00,1900-01-01 17:22:00,1900-01-01 18:07:00,1900-01-01 18:07:00,0 days 00:45:00,0 days 00:45:00,0 days 00:00:00,False
2023-01-21,DD309,HS-DBO,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 16:45:00,1900-01-01 18:51:00,1900-01-01 18:50:00,1900-01-01 19:34:00,0 days 02:05:00,0 days 00:43:00,0 days 02:06:00,False
2023-01-21,DD131,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 14:05:00,1900-01-01 15:29:00,1900-01-01 15:50:00,1900-01-01 16:24:00,0 days 01:45:00,0 days 00:55:00,0 days 01:24:00,False
2023-01-21,DD130,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 12:20:00,1900-01-01 13:47:00,1900-01-01 14:15:00,1900-01-01 14:40:00,0 days 01:55:00,0 days 00:53:00,0 days 01:27:00,False
2023-01-20,DD135,HS-DBO,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 18:40:00,1900-01-01 21:14:00,1900-01-01 19:45:00,1900-01-01 22:08:00,0 days 01:05:00,0 days 00:54:00,0 days 02:34:00,True
2023-01-20,DD134,HS-DBO,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 17:00:00,1900-01-01 19:37:00,1900-01-01 18:10:00,1900-01-01 20:32:00,0 days 01:10:00,0 days 00:55:00,0 days 02:37:00,True
2023-01-27,DD365,HS-DBP,Sakon Nakhon ,SNO,Bangkok ,DMK,1900-01-01 14:50:00,1900-01-01 15:30:00,1900-01-01 16:00:00,1900-01-01 16:21:00,0 days 01:10:00,0 days 00:51:00,0 days 00:40:00,True
2023-01-27,DD364,HS-DBP,Bangkok ,DMK,Sakon Nakhon ,SNO,1900-01-01 13:10:00,1900-01-01 13:53:00,1900-01-01 14:20:00,1900-01-01 14:51:00,0 days 01:10:00,0 days 00:58:00,0 days 00:43:00,True
2023-01-27,DD381,HS-DBP,Nakhon Phanom ,KOP,Bangkok ,DMK,1900-01-01 09:30:00,1900-01-01 11:35:00,1900-01-01 11:35:00,1900-01-01 12:30:00,0 days 02:05:00,0 days 00:55:00,0 days 02:05:00,True
2023-01-27,DD380,HS-DBP,Bangkok ,DMK,Nakhon Phanom ,KOP,1900-01-01 07:50:00,1900-01-01 09:54:00,1900-01-01 09:55:00,1900-01-01 10:57:00,0 days 02:05:00,0 days 01:03:00,0 days 02:04:00,True
2023-01-27,DD6611,HS-DBP,Phuket ,HKT,Bangkok ,DMK,1900-01-01 07:37:00,1900-01-01 07:37:00,1900-01-01 08:45:00,1900-01-01 08:45:00,0 days 01:08:00,0 days 01:08:00,0 days 00:00:00,True
2023-01-26,DD532,HS-DBP,Bangkok ,DMK,Phuket ,HKT,1900-01-01 17:15:00,1900-01-01 17:39:00,1900-01-01 18:35:00,1900-01-01 18:39:00,0 days 01:20:00,0 days 01:00:00,0 days 00:24:00,True
2023-01-26,DD555,HS-DBP,Nakhon Si Thammarat ,NST,Bangkok ,DMK,1900-01-01 14:15:00,1900-01-01 15:37:00,1900-01-01 15:30:00,1900-01-01 16:41:00,0 days 01:15:00,0 days 01:04:00,0 days 01:22:00,True
2023-01-26,DD554,HS-DBP,Bangkok ,DMK,Nakhon Si Thammarat ,NST,1900-01-01 12:30:00,1900-01-01 14:01:00,1900-01-01 13:45:00,1900-01-01 14:58:00,0 days 01:15:00,0 days 00:57:00,0 days 01:31:00,True
2023-01-26,DD305,HS-DBP,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 11:55:00,1900-01-01 12:20:00,1900-01-01 12:55:00,1900-01-01 13:06:00,0 days 01:00:00,0 days 00:46:00,0 days 00:25:00,True
2023-01-26,DD304,HS-DBP,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 10:15:00,1900-01-01 10:48:00,1900-01-01 11:25:00,1900-01-01 11:37:00,0 days 01:10:00,0 days 00:49:00,0 days 00:33:00,True
2023-01-26,DD901,HS-DBP,Yangon ,RGN,Bangkok ,DMK,1900-01-01 08:35:00,1900-01-01 08:38:00,1900-01-01 09:55:00,1900-01-01 09:33:00,0 days 01:20:00,0 days 00:55:00,0 days 00:03:00,True
2023-01-25,DD900,HS-DBP,Bangkok ,DMK,Yangon ,RGN,1900-01-02 06:30:00,1900-01-02 06:53:00,1900-01-01 07:45:00,1900-01-01 07:45:00,0 days 01:15:00,0 days 00:52:00,0 days 00:23:00,True
2023-01-25,DD3111,HS-DBP,Nanning ,NNG,Bangkok ,DMK,1900-01-01 19:45:00,1900-01-01 19:50:00,1900-01-01 22:00:00,1900-01-01 21:47:00,0 days 02:15:00,0 days 01:57:00,0 days 00:05:00,True
2023-01-25,DD3110,HS-DBP,Bangkok ,DMK,Nanning ,NNG,1900-01-01 15:30:00,1900-01-01 16:31:00,1900-01-01 17:45:00,1900-01-01 18:19:00,0 days 02:15:00,0 days 01:48:00,0 days 01:01:00,True
2023-01-25,DD323,HS-DBP,Ubon Ratchathani ,UBP,Bangkok ,DMK,1900-01-01 13:05:00,1900-01-01 13:24:00,1900-01-01 14:05:00,1900-01-01 14:13:00,0 days 01:00:00,0 days 00:49:00,0 days 00:19:00,True
2023-01-25,DD322,HS-DBP,Bangkok ,DMK,Ubon Ratchathani ,UBP,1900-01-01 11:30:00,1900-01-01 11:50:00,1900-01-01 12:35:00,1900-01-01 12:40:00,0 days 01:05:00,0 days 00:50:00,0 days 00:20:00,True
2023-01-25,DD361,HS-DBP,Sakon Nakhon ,SNO,Bangkok ,DMK,1900-01-01 08:40:00,1900-01-01 08:37:00,1900-01-01 09:45:00,1900-01-01 09:31:00,0 days 01:05:00,0 days 00:54:00,0 days 00:00:00,True
2023-01-25,DD360,HS-DBP,Bangkok ,DMK,Sakon Nakhon ,SNO,1900-01-01 07:00:00,1900-01-01 07:03:00,1900-01-01 08:10:00,1900-01-01 07:57:00,0 days 01:10:00,0 days 00:54:00,0 days 00:03:00,True
2023-01-24,DD109,HS-DBP,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 20:25:00,1900-01-01 21:09:00,1900-01-01 22:15:00,1900-01-01 22:08:00,0 days 01:50:00,0 days 00:59:00,0 days 00:44:00,True
2023-01-24,DD108,HS-DBP,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 18:35:00,1900-01-01 19:23:00,1900-01-01 20:30:00,1900-01-01 20:23:00,0 days 01:55:00,0 days 01:00:00,0 days 00:48:00,True
2023-01-24,DD309,HS-DBP,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 16:45:00,1900-01-01 17:49:00,1900-01-01 18:45:00,1900-01-01 18:36:00,0 days 02:00:00,0 days 00:47:00,0 days 01:04:00,True
2023-01-24,DD308,HS-DBP,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 16:10:00,1900-01-01 16:16:00,1900-01-01 17:15:00,1900-01-01 17:03:00,0 days 01:05:00,0 days 00:47:00,0 days 00:06:00,True
2023-01-24,DD851,HS-DBP,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 14:00:00,1900-01-01 14:02:00,1900-01-01 15:30:00,1900-01-01 15:21:00,0 days 01:30:00,0 days 01:19:00,0 days 00:02:00,True
2023-01-24,DD850,HS-DBP,Bangkok ,DMK,Ho Chi Minh City ,SGN,1900-01-01 11:45:00,1900-01-01 11:46:00,1900-01-01 13:15:00,1900-01-01 13:12:00,0 days 01:30:00,0 days 01:26:00,0 days 00:01:00,True
2023-01-23,DD859,HS-DBP,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 20:45:00,1900-01-01 22:19:00,1900-01-01 22:25:00,1900-01-01 23:32:00,0 days 01:40:00,0 days 01:13:00,0 days 01:34:00,True
2023-01-23,DD858,HS-DBP,Bangkok ,DMK,Ho Chi Minh City ,SGN,1900-01-01 18:30:00,1900-01-01 19:59:00,1900-01-01 20:00:00,1900-01-01 21:23:00,0 days 01:30:00,0 days 01:24:00,0 days 01:29:00,True
2023-01-23,DD133,HS-DBP,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 16:20:00,1900-01-01 18:19:00,1900-01-01 17:25:00,1900-01-01 19:18:00,0 days 01:05:00,0 days 00:59:00,0 days 01:59:00,True
2023-01-23,DD132,HS-DBP,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 14:40:00,1900-01-01 16:39:00,1900-01-01 15:50:00,1900-01-01 17:32:00,0 days 01:10:00,0 days 00:53:00,0 days 01:59:00,True
2023-01-23,DD5761,HS-DBP,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 14:29:00,1900-01-01 14:29:00,1900-01-01 15:44:00,1900-01-01 15:44:00,0 days 01:15:00,0 days 01:15:00,0 days 00:00:00,True
2023-01-23,DD5791,HS-DBP,Phitsanulok ,PHS,Hat Yai ,HDY,1900-01-01 12:06:00,1900-01-01 12:06:00,1900-01-01 13:39:00,1900-01-01 13:39:00,0 days 01:33:00,0 days 01:33:00,0 days 00:00:00,True
2023-01-23,DD5790,HS-DBP,Hat Yai ,HDY,Phitsanulok ,PHS,1900-01-01 09:53:00,1900-01-01 09:53:00,1900-01-01 11:21:00,1900-01-01 11:21:00,0 days 01:28:00,0 days 01:28:00,0 days 00:00:00,True
2023-01-23,DD5760,HS-DBP,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 08:08:00,1900-01-01 08:08:00,1900-01-01 09:18:00,1900-01-01 09:18:00,0 days 01:10:00,0 days 01:10:00,0 days 00:00:00,True
2023-01-22,DD329,HS-DBP,Ubon Ratchathani ,UBP,Bangkok ,DMK,1900-01-01 19:25:00,1900-01-01 19:43:00,1900-01-01 20:25:00,1900-01-01 20:32:00,0 days 01:00:00,0 days 00:49:00,0 days 00:18:00,False
2023-01-22,DD328,HS-DBP,Bangkok ,DMK,Ubon Ratchathani ,UBP,1900-01-01 17:45:00,1900-01-01 18:08:00,1900-01-01 18:55:00,1900-01-01 18:57:00,0 days 01:10:00,0 days 00:49:00,0 days 00:23:00,False
2023-01-22,DD107,HS-DBP,Chiang Rai ,CEI,Bangkok ,DMK,1900-01-01 16:00:00,1900-01-01 16:15:00,1900-01-01 17:15:00,1900-01-01 17:17:00,0 days 01:15:00,0 days 01:02:00,0 days 00:15:00,False
2023-01-22,DD106,HS-DBP,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 14:15:00,1900-01-01 14:30:00,1900-01-01 15:30:00,1900-01-01 15:34:00,0 days 01:15:00,0 days 01:04:00,0 days 00:15:00,False
2023-01-22,DD305,HS-DBP,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 12:45:00,1900-01-01 12:48:00,1900-01-01 13:45:00,1900-01-01 13:33:00,0 days 01:00:00,0 days 00:45:00,0 days 00:03:00,False
2023-01-22,DD304,HS-DBP,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 11:10:00,1900-01-01 11:17:00,1900-01-01 12:15:00,1900-01-01 12:03:00,0 days 01:05:00,0 days 00:46:00,0 days 00:07:00,False
2023-01-22,DD381,HS-DBP,Nakhon Phanom ,KOP,Bangkok ,DMK,1900-01-01 09:30:00,1900-01-01 09:35:00,1900-01-01 10:40:00,1900-01-01 10:26:00,0 days 01:10:00,0 days 00:51:00,0 days 00:05:00,False
2023-01-22,DD380,HS-DBP,Bangkok ,DMK,Nakhon Phanom ,KOP,1900-01-01 07:56:00,1900-01-01 07:56:00,1900-01-01 08:54:00,1900-01-01 08:54:00,0 days 00:58:00,0 days 00:58:00,0 days 00:00:00,False
2023-01-21,DD329,HS-DBP,Ubon Ratchathani ,UBP,Bangkok ,DMK,1900-01-01 18:55:00,1900-01-01 19:25:00,1900-01-01 20:20:00,1900-01-01 20:12:00,0 days 01:25:00,0 days 00:47:00,0 days 00:30:00,False
2023-01-21,DD328,HS-DBP,Bangkok ,DMK,Ubon Ratchathani ,UBP,1900-01-01 17:20:00,1900-01-01 17:59:00,1900-01-01 18:50:00,1900-01-01 18:48:00,0 days 01:30:00,0 days 00:49:00,0 days 00:39:00,False
2023-01-21,DD325,HS-DBP,Ubon Ratchathani ,UBP,Bangkok ,DMK,1900-01-01 15:05:00,1900-01-01 16:28:00,1900-01-01 16:05:00,1900-01-01 17:16:00,0 days 01:00:00,0 days 00:48:00,0 days 01:23:00,False
2023-01-21,DD324,HS-DBP,Bangkok ,DMK,Ubon Ratchathani ,UBP,1900-01-01 13:25:00,1900-01-01 15:03:00,1900-01-01 14:35:00,1900-01-01 15:52:00,0 days 01:10:00,0 days 00:49:00,0 days 01:38:00,False
2023-01-21,DD503,HS-DBP,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 11:35:00,1900-01-01 12:55:00,1900-01-01 13:00:00,1900-01-01 14:12:00,0 days 01:25:00,0 days 01:17:00,0 days 01:20:00,False
2023-01-21,DD502,HS-DBP,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 09:40:00,1900-01-01 10:56:00,1900-01-01 11:05:00,1900-01-01 12:09:00,0 days 01:25:00,0 days 01:13:00,0 days 01:16:00,False
2023-01-21,DD303,HS-DBP,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 09:05:00,1900-01-01 09:05:00,1900-01-01 10:05:00,1900-01-01 09:50:00,0 days 01:00:00,0 days 00:45:00,0 days 00:00:00,False
2023-01-21,DD302,HS-DBP,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 07:30:00,1900-01-01 07:40:00,1900-01-01 08:35:00,1900-01-01 08:25:00,0 days 01:05:00,0 days 00:45:00,0 days 00:10:00,False
2023-01-20,DD3137,HS-DBP,Zhengzhou ,CGO,Bangkok ,DMK,1900-01-01 21:15:00,1900-01-01 22:09:00,1900-01-02 01:30:00,1900-01-02 02:06:00,0 days 04:15:00,0 days 03:57:00,0 days 00:54:00,True
2023-01-20,DD3136,HS-DBP,Bangkok ,DMK,Zhengzhou ,CGO,1900-01-01 15:00:00,1900-01-01 15:28:00,1900-01-01 19:15:00,1900-01-01 19:04:00,0 days 04:15:00,0 days 03:36:00,0 days 00:28:00,True
2023-01-27,DD127,HS-DBS,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 12:15:00,1900-01-01 12:34:00,1900-01-01 13:20:00,1900-01-01 13:26:00,0 days 01:05:00,0 days 00:52:00,0 days 00:19:00,True
2023-01-27,DD126,HS-DBS,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 10:35:00,1900-01-01 10:43:00,1900-01-01 11:45:00,1900-01-01 11:33:00,0 days 01:10:00,0 days 00:50:00,0 days 00:08:00,True
2023-01-27,DD901,HS-DBS,Yangon ,RGN,Bangkok ,DMK,1900-01-01 08:35:00,1900-01-01 08:41:00,1900-01-01 09:55:00,1900-01-01 09:41:00,0 days 01:20:00,0 days 01:00:00,0 days 00:06:00,True
2023-01-26,DD900,HS-DBS,Bangkok ,DMK,Yangon ,RGN,1900-01-02 06:30:00,1900-01-02 06:28:00,1900-01-01 07:45:00,1900-01-01 07:22:00,0 days 01:15:00,0 days 00:54:00,0 days 00:00:00,True
2023-01-26,DD141,HS-DBS,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 22:30:00,1900-01-02 00:17:00,1900-01-01 23:40:00,1900-01-02 01:07:00,0 days 01:10:00,0 days 00:50:00,0 days 01:47:00,True
2023-01-26,DD140,HS-DBS,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 20:50:00,1900-01-01 22:37:00,1900-01-01 22:00:00,1900-01-01 23:31:00,0 days 01:10:00,0 days 00:54:00,0 days 01:47:00,True
2023-01-26,DD579,HS-DBS,Surat Thani ,URT,Bangkok ,DMK,1900-01-01 19:35:00,1900-01-01 20:45:00,1900-01-01 20:50:00,1900-01-01 21:45:00,0 days 01:15:00,0 days 01:00:00,0 days 01:10:00,True
2023-01-26,DD578,HS-DBS,Bangkok ,DMK,Surat Thani ,URT,1900-01-01 17:55:00,1900-01-01 19:09:00,1900-01-01 19:05:00,1900-01-01 20:00:00,0 days 01:10:00,0 days 00:51:00,0 days 01:14:00,True
2023-01-26,DD133,HS-DBS,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 15:40:00,1900-01-01 17:09:00,1900-01-01 16:50:00,1900-01-01 18:01:00,0 days 01:10:00,0 days 00:52:00,0 days 01:29:00,True
2023-01-26,DD132,HS-DBS,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 14:00:00,1900-01-01 15:29:00,1900-01-01 15:10:00,1900-01-01 16:20:00,0 days 01:10:00,0 days 00:51:00,0 days 01:29:00,True
2023-01-26,DD127,HS-DBS,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 12:15:00,1900-01-01 13:25:00,1900-01-01 13:20:00,1900-01-01 14:21:00,0 days 01:05:00,0 days 00:56:00,0 days 01:10:00,True
2023-01-26,DD126,HS-DBS,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 10:35:00,1900-01-01 11:43:00,1900-01-01 11:45:00,1900-01-01 12:34:00,0 days 01:10:00,0 days 00:51:00,0 days 01:08:00,True
2023-01-26,DD523,HS-DBS,Phuket ,HKT,Bangkok ,DMK,1900-01-01 09:10:00,1900-01-01 09:37:00,1900-01-01 10:40:00,1900-01-01 10:43:00,0 days 01:30:00,0 days 01:06:00,0 days 00:27:00,True
2023-01-26,DD522,HS-DBS,Bangkok ,DMK,Phuket ,HKT,1900-01-01 07:20:00,1900-01-01 07:35:00,1900-01-01 08:40:00,1900-01-01 08:42:00,0 days 01:20:00,0 days 01:07:00,0 days 00:15:00,True
